Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,grad_norm,epsilon,lr
,,,,,135000,,,4.144228458404541,38.71400451660156,39.094669342041016,235.5863800048828,0.7628125,9.010406250000001e-05
,,,,,135682,410.0,2994,,,,,,
,,,,,136000,,,25.746238708496094,41.05866622924805,41.52686309814453,1042.1395263671875,0.76075,8.999989583333334e-05
,,,,,136034,160.0,1426,,,,,,
,,,,,136755,1240.0,2890,,,,,,
,,,,,137000,,,6.0822434425354,35.05048370361328,35.664344787597656,259.90521240234375,0.7586875,8.989572916666668e-05
,,,,,137293,370.0,2178,,,,,,
,,,,,137677,180.0,1538,,,,,,
,,,,,138000,,,7.336513519287109,33.890174865722656,33.23876953125,305.4836730957031,0.756625,8.979156250000001e-05
,,,,,138122,260.0,1802,,,,,,
,,,,,138581,280.0,1850,,,,,,
,,,,,139000,,,7.486380100250244,36.42808151245117,35.26077651977539,474.3727722167969,0.7545625,8.968739583333334e-05
,,,,,139086,300.0,2042,,,,,,
,,,,,139590,240.0,2018,,,,,,
434.0,150.41277,730.0,330.0,2507.6,140000,,,8.841240882873535,30.971593856811523,30.829086303710938,185.86805725097656,0.7525,8.958322916666667e-05
,,,,,140024,280.0,1762,,,,,,
,,,,,140500,260.0,1906,,,,,,
,,,,,140968,310.0,1898,,,,,,
,,,,,141000,,,6.159339904785156,33.896484375,32.77216720581055,405.1627502441406,0.7504375,8.94790625e-05
,,,,,141678,380.0,2842,,,,,,
