Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
,,,,,3080,5.0,5,,,,,,,,
,,,,,3089,9.0,9,,,,,,,,
,,,,,3098,9.0,9,,,,,,,,
,,,,,3101,3.0,3,,,,,,,,
,,,,,3104,3.0,3,,,,,,,,
,,,,,3111,7.0,7,,,,,,,,
,,,,,3117,6.0,6,,,,,,,,
,,,,,3123,6.0,6,,,,,,,,
,,,,,3126,3.0,3,,,,,,,,
,,,,,3130,4.0,4,,,,,,,,
,,,,,3133,3.0,3,,,,,,,,
,,,,,3137,4.0,4,,,,,,,,
,,,,,3140,3.0,3,,,,,,,,
,,,,,3144,4.0,4,,,,,,,,
,,,,,3148,4.0,4,,,,,,,,
,,,,,3157,9.0,9,,,,,,,,
,,,,,3162,5.0,5,,,,,,,,
,,,,,3165,3.0,3,,,,,,,,
,,,,,3170,5.0,5,,,,,,,,
,,,,,3174,4.0,4,,,,,,,,
,,,,,3185,11.0,11,,,,,,,,
,,,,,3210,25.0,25,,,,,,,,
,,,,,3214,4.0,4,,,,,,,,
,,,,,3218,4.0,4,,,,,,,,
,,,,,3227,9.0,9,,,,,,,,
,,,,,3233,6.0,6,,,,,,,,
,,,,,3239,6.0,6,,,,,,,,
,,,,,3242,3.0,3,,,,,,,,
,,,,,3246,4.0,4,,,,,,,,
,,,,,3251,5.0,5,,,,,,,,
,,,,,3256,5.0,5,,,,,,,,
,,,,,3259,3.0,3,,,,,,,,
,,,,,3268,9.0,9,,,,,,,,
,,,,,3281,13.0,13,,,,,,,,
,,,,,3287,6.0,6,,,,,,,,
,,,,,3293,6.0,6,,,,,,,,
,,,,,3309,16.0,16,,,,,,,,
,,,,,3312,3.0,3,,,,,,,,
,,,,,3315,3.0,3,,,,,,,,
,,,,,3321,6.0,6,,,,,,,,
,,,,,3325,4.0,4,,,,,,,,
,,,,,3338,13.0,13,,,,,,,,
,,,,,3346,8.0,8,,,,,,,,
,,,,,3352,6.0,6,,,,,,,,
,,,,,3355,3.0,3,,,,,,,,
,,,,,3365,10.0,10,,,,,,,,
,,,,,3373,8.0,8,,,,,,,,
,,,,,3380,7.0,7,,,,,,,,
,,,,,3384,4.0,4,,,,,,,,
,,,,,3388,4.0,4,,,,,,,,
,,,,,3391,3.0,3,,,,,,,,
,,,,,3403,12.0,12,,,,,,,,
,,,,,3409,6.0,6,,,,,,,,
,,,,,3427,18.0,18,,,,,,,,
,,,,,3442,15.0,15,,,,,,,,
,,,,,3449,7.0,7,,,,,,,,
,,,,,3455,6.0,6,,,,,,,,
,,,,,3460,5.0,5,,,,,,,,
,,,,,3480,20.0,20,,,,,,,,
,,,,,3487,7.0,7,,,,,,,,
,,,,,3493,6.0,6,,,,,,,,
,,,,,3504,11.0,11,,,,,,,,
,,,,,3511,7.0,7,,,,,,,,
,,,,,3516,5.0,5,,,,,,,,
,,,,,3532,16.0,16,,,,,,,,
,,,,,3535,3.0,3,,,,,,,,
,,,,,3538,3.0,3,,,,,,,,
,,,,,3543,5.0,5,,,,,,,,
,,,,,3546,3.0,3,,,,,,,,
,,,,,3550,4.0,4,,,,,,,,
,,,,,3555,5.0,5,,,,,,,,
,,,,,3565,10.0,10,,,,,,,,
,,,,,3569,4.0,4,,,,,,,,
,,,,,3579,10.0,10,,,,,,,,
,,,,,3595,16.0,16,,,,,,,,
,,,,,3598,3.0,3,,,,,,,,
,,,,,3605,7.0,7,,,,,,,,
,,,,,3612,7.0,7,,,,,,,,
,,,,,3620,8.0,8,,,,,,,,
,,,,,3624,4.0,4,,,,,,,,
,,,,,3631,7.0,7,,,,,,,,
,,,,,3640,9.0,9,,,,,,,,
,,,,,3652,12.0,12,,,,,,,,
,,,,,3656,4.0,4,,,,,,,,
,,,,,3661,5.0,5,,,,,,,,
,,,,,3677,16.0,16,,,,,,,,
,,,,,3681,4.0,4,,,,,,,,
,,,,,3685,4.0,4,,,,,,,,
,,,,,3693,8.0,8,,,,,,,,
,,,,,3707,14.0,14,,,,,,,,
,,,,,3712,5.0,5,,,,,,,,
,,,,,3716,4.0,4,,,,,,,,
,,,,,3727,11.0,11,,,,,,,,
,,,,,3734,7.0,7,,,,,,,,
,,,,,3737,3.0,3,,,,,,,,
,,,,,3744,7.0,7,,,,,,,,
,,,,,3761,17.0,17,,,,,,,,
,,,,,3770,9.0,9,,,,,,,,
,,,,,3785,15.0,15,,,,,,,,
,,,,,3790,5.0,5,,,,,,,,
,,,,,3806,16.0,16,,,,,,,,
,,,,,3820,14.0,14,,,,,,,,
,,,,,3827,7.0,7,,,,,,,,
,,,,,3831,4.0,4,,,,,,,,
,,,,,3836,5.0,5,,,,,,,,
,,,,,3841,5.0,5,,,,,,,,
,,,,,3844,3.0,3,,,,,,,,
,,,,,3850,6.0,6,,,,,,,,
,,,,,3855,5.0,5,,,,,,,,
,,,,,3858,3.0,3,,,,,,,,
,,,,,3876,18.0,18,,,,,,,,
,,,,,3887,11.0,11,,,,,,,,
,,,,,3890,3.0,3,,,,,,,,
,,,,,3895,5.0,5,,,,,,,,
,,,,,3899,4.0,4,,,,,,,,
,,,,,3914,15.0,15,,,,,,,,
,,,,,3923,9.0,9,,,,,,,,
,,,,,3928,5.0,5,,,,,,,,
,,,,,3937,9.0,9,,,,,,,,
,,,,,3945,8.0,8,,,,,,,,
,,,,,3954,9.0,9,,,,,,,,
,,,,,3959,5.0,5,,,,,,,,
,,,,,3971,12.0,12,,,,,,,,
,,,,,3986,15.0,15,,,,,,,,
,,,,,3992,6.0,6,,,,,,,,
,,,,,3996,4.0,4,,,,,,,,
,,,,,4001,5.0,5,,,,,,,,
,,,,,4007,6.0,6,,,,,,,,
,,,,,4012,5.0,5,,,,,,,,
,,,,,4016,4.0,4,,,,,,,,
,,,,,4022,6.0,6,,,,,,,,
,,,,,4033,11.0,11,,,,,,,,
,,,,,4041,8.0,8,,,,,,,,
,,,,,4045,4.0,4,,,,,,,,
,,,,,4060,15.0,15,,,,,,,,
,,,,,4065,5.0,5,,,,,,,,
,,,,,4070,5.0,5,,,,,,,,
,,,,,4074,4.0,4,,,,,,,,
