Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
19.457348,13.822986,49.97866,7.043417,22.2,10000,,,-0.26090699434280396,1.935002326965332,1.206001877784729,0.002178625203669071,0.9996044635772705,0.0003,0.0003,0.1
,,,,,10016,16.629847,30,,,,,,,,
,,,,,10044,13.146773,28,,,,,,,,
,,,,,10057,6.9140635,13,,,,,,,,
,,,,,10095,26.420387,38,,,,,,,,
,,,,,10158,51.346752,63,,,,,,,,
,,,,,10272,146.44225,114,,,,,,,,
,,,,,10329,100.6548,57,,,,,,,,
,,,,,10372,72.72263,43,,,,,,,,
,,,,,10426,92.110054,54,,,,,,,,
,,,,,10470,76.945816,44,,,,,,,,
,,,,,10516,76.5686,46,,,,,,,,
,,,,,10570,95.27187,54,,,,,,,,
,,,,,10608,63.081715,38,,,,,,,,
,,,,,10646,63.03042,38,,,,,,,,
,,,,,10697,91.156876,51,,,,,,,,
,,,,,10741,73.21979,44,,,,,,,,
,,,,,10782,67.29144,41,,,,,,,,
,,,,,10819,62.879097,37,,,,,,,,
,,,,,10851,52.284164,32,,,,,,,,
,,,,,10887,59.681,36,,,,,,,,
,,,,,10927,66.21325,40,,,,,,,,
,,,,,10960,54.88751,33,,,,,,,,
,,,,,11000,,,-6.263452529907227,0.40872716903686523,0.4851504862308502,5.835461139678955,5.755386829376221,0.0003,0.0003,0.1
,,,,,11014,96.48834,54,,,,,,,,
,,,,,11059,76.71141,45,,,,,,,,
,,,,,11093,55.946167,34,,,,,,,,
,,,,,11128,56.99738,35,,,,,,,,
,,,,,11166,62.91879,38,,,,,,,,
,,,,,11247,161.89455,81,,,,,,,,
,,,,,11322,145.6374,75,,,,,,,,
,,,,,11420,194.41577,98,,,,,,,,
,,,,,11488,127.62047,68,,,,,,,,
,,,,,11584,184.29257,96,,,,,,,,
,,,,,11681,203.67555,97,,,,,,,,
,,,,,11781,206.13873,100,,,,,,,,
,,,,,11868,150.17668,87,,,,,,,,
,,,,,11969,204.66374,101,,,,,,,,
,,,,,12000,,,-14.680240631103516,-0.9593748450279236,1.1137473583221436,13.188136100769043,13.52241325378418,0.0003,0.0003,0.1
,,,,,12072,204.28479,103,,,,,,,,
,,,,,12154,156.33585,82,,,,,,,,
,,,,,12239,168.19084,85,,,,,,,,
,,,,,12359,248.2215,120,,,,,,,,
,,,,,12456,192.58446,97,,,,,,,,
,,,,,12535,141.6176,79,,,,,,,,
,,,,,12658,280.59305,123,,,,,,,,
,,,,,12739,144.87123,81,,,,,,,,
,,,,,12852,226.85822,113,,,,,,,,
,,,,,12963,205.1905,111,,,,,,,,
,,,,,13000,,,-23.433090209960938,-1.698486089706421,1.7280281782150269,21.45222282409668,21.526355743408203,0.0003,0.0003,0.1
,,,,,13076,226.90831,113,,,,,,,,
,,,,,13184,229.7337,108,,,,,,,,
,,,,,13283,212.51343,99,,,,,,,,
,,,,,13387,226.69595,104,,,,,,,,
,,,,,13482,200.5882,95,,,,,,,,
,,,,,13579,210.11493,97,,,,,,,,
,,,,,13670,193.46294,91,,,,,,,,
,,,,,13764,200.14981,94,,,,,,,,
,,,,,13866,224.10544,102,,,,,,,,
,,,,,13969,229.20114,103,,,,,,,,
,,,,,14000,,,-33.37205505371094,-0.9226739406585693,5.909520149230957,31.754167556762695,31.38818359375,0.0003,0.0003,0.1
,,,,,14075,241.63177,106,,,,,,,,
,,,,,14183,207.11737,108,,,,,,,,
,,,,,14290,243.31767,107,,,,,,,,
,,,,,14408,236.14944,118,,,,,,,,
,,,,,14526,263.5263,118,,,,,,,,
,,,,,14609,177.71643,83,,,,,,,,
,,,,,14711,237.93872,102,,,,,,,,
,,,,,14804,214.27333,93,,,,,,,,
,,,,,14901,195.61646,97,,,,,,,,
,,,,,14988,184.35097,87,,,,,,,,
218.95671,23.262396,258.00836,187.25877,101.4,15000,,,-40.687950134277344,-1.3046648502349854,10.283015251159668,38.60224151611328,39.13414764404297,0.0003,0.0003,0.1
,,,,,15097,236.39764,109,,,,,,,,
,,,,,15204,234.23407,107,,,,,,,,
,,,,,15293,186.13808,89,,,,,,,,
,,,,,15404,251.51399,111,,,,,,,,
,,,,,15507,193.76196,103,,,,,,,,
,,,,,15602,197.40466,95,,,,,,,,
,,,,,15699,202.73314,97,,,,,,,,
,,,,,15817,273.63254,118,,,,,,,,
,,,,,15931,235.79007,114,,,,,,,,
,,,,,16000,,,-50.51946258544922,-1.2637395858764648,3.2565512657165527,48.79814910888672,48.553157806396484,0.0003,0.0003,0.1
,,,,,16040,237.74205,109,,,,,,,,
,,,,,16148,227.62273,108,,,,,,,,
,,,,,16266,266.51093,118,,,,,,,,
,,,,,16372,229.11545,106,,,,,,,,
,,,,,16474,208.15453,102,,,,,,,,
,,,,,16583,254.52422,109,,,,,,,,
,,,,,16689,225.19704,106,,,,,,,,
,,,,,16798,232.49146,109,,,,,,,,
,,,,,16913,250.90071,115,,,,,,,,
,,,,,17000,,,-58.38371658325195,-1.8965750932693481,8.47195053100586,55.5226936340332,55.53875732421875,0.0003,0.0003,0.1
,,,,,17027,260.198,114,,,,,,,,
,,,,,17133,230.46611,106,,,,,,,,
,,,,,17239,222.7184,106,,,,,,,,
,,,,,17356,284.40298,117,,,,,,,,
,,,,,17453,202.78806,97,,,,,,,,
,,,,,17572,266.57147,119,,,,,,,,
,,,,,17688,271.8579,116,,,,,,,,
,,,,,17806,235.23618,118,,,,,,,,
,,,,,17914,233.86276,108,,,,,,,,
